	가게	주소	테마
156	오가네전복설렁탕	제주특별자치도 서귀포시 중산간동로 7738	"#설렁탕 #물회냉면 #손만두
#음식 #전복 #전복해물탕 #전복죽 #전복뚝배기 #전복물회"
157	오는정김밥	제주특별자치도 서귀포시 동문동로 2	"#김밥 #분식 #오는정김밥
#음식 #김치김밥 #참치김밥 #더블치즈김밥 #땡초김밥 #멸치김밥"
158	옥돔식당	제주특별자치도 서귀포시 대정읍 신영로36번길 62	"#보말칼국수 #칼국수 #손칼국수
#음식"
159	우도면파전리	제주특별자치도 제주시 우도면 우도해안길 388	"#라면 #해물파전 #꽃게라면
#해물라면 #문어라면 #음식"
160	우도해녀식당	제주특별자치도 제주시 우도면 우도해안길 440	"#보말칼국수 #보말죽 #우도땅콩아이스크림
#성게미역국 #음식 #아이스크림 #칼국수"
161	제주다음	제주특별자치도 서귀포시 보목포로 27	"#차 #티 #음식
#녹차 #청귤차 #꽃차 #홍차"
162	중문덤장	제주특별자치도 서귀포시 천제연로 17	"#돔베고기 #향토음식 #갈치조림
#고등어구이 #보말국 #우수관광사업체 #음식"
163	철가방을든해녀	제주특별자치도 서귀포시 대정읍 마라로 85	"#짜장면 #톳짜장면 #짬뽕
#탕수육 #음식 #중식"
164	한치앞도모를바다	제주특별자치도 제주시 한림읍 협재6길 9	"#분식 #즉석떡볶이 #해산물
#음식 #떡볶이 #문어"
165	허파곶자왈화덕피자	제주특별자치도 서귀포시 안덕면 녹차분재로 58	"#화덕피자 #피자 #음료
#음식 #고르곤졸라화덕피자 #페페로니햄피자 #마르게리타화덕피자 #스파게티"
166	호박다방	제주특별자치도 제주시 애월읍 일주서로 6111	"#카페 #호박라떼 #단호박케이크
#수박케이크 #당근케이크 #녹차라떼 #호박 #음식 #케이크"
167	황금손가락	제주특별자치도 제주시 구남동1길 44	"#초밥 #스시 #우동
#튀김 #소바 #음식 #냉소바 #돈까스 #새우튀김"
168	가파도해물짜장짬뽕	제주특별자치도 서귀포시 대정읍 가파로67번길 1	"#짜장면 #해물짬뽕 #짬뽕
#해물짜짱 #음식 #해산물 #소라 #중식"
169	곱들락	제주특별자치도 제주시 조천읍 함덕18길 19	"#흑돼지 #전복 #오꼬노미야끼볶음밥
#한식 #음식 #흑돼지구이 #양념갈비 #갈비 #된장찌개 #김치찌개 #육회 #비빔밥"
170	남경미락	제주특별자치도 서귀포시 안덕면 사계남로 190-7	"#지리 #회 #횟집
#다금바리 #돌돔 #자연산 #음식 #해산물"
171	늘봄흑돼지	제주특별자치도 제주시 한라대학로 12	"#흑돼지 #갈비따로덮밥 #한식
#음식 #목살 #삼겹살 #갈비 #양념갈비 #항정살"
172	대수길다방	제주특별자치도 제주시 구좌읍 대수길 24	"#기념품 #캔들 #바당캔들
#핸드드립 #음식 #핸드드립커피 #커피 #카페라떼 #바닐라라떼 #아인슈페너"
173	대우정	제주특별자치도 서귀포시 이어도로 866-37	"#해물뚝배기 #전복 #돌솥밥
#고등어 #음식 #옥돔구이 #전복뚝배기 #성게미역국 #제육볶음"
174	대원가	제주특별자치도 제주시 도남로16길 15	"#무슬림 #해산물 #활전복
#해물탕 #전복죽 #옥돔구이 #음식 #전복해물탕 #갈치조림 #제주갈치조림 #성게미역국 #고등어구이"
175	메밀꽃차롱	제주특별자치도 제주시 연오로 136 (연동)	"#꿩 #전골 #메밀쟁반국수
#음식 #수제비 #메밀 #칼국수 #샤브샤브 #꿩코스요리"
176	모루쿠다	제주특별자치도 서귀포시 동홍중앙로90번길 48	"#덮밥 #생선회 #라멘
#음식 #연어덮밥 #연어사시미 #광어회 #회 #회덮밥 #사시미 #소라"
177	물꼬해녀의집	제주특별자치도 제주시 우도면 우도해안길 496	"#해산물 #문어라면 #보말죽
#전복라면 #음식 #우도 #해물라면 #문어숙회 #보말칼국수 #칼국수 #전복죽 #라면"
178	바굥식당	제주특별자치도 서귀포시 남원읍 태위로 87	"#진어에일 #진저비어 #정식
#음식"
179	바다는안보여요	제주특별자치도 제주시 구좌읍 종달로5길 31-1	"#카페 #당근주수 #제주당근
#음식 #핸드드립커피 #에스프레소 #아메리카노 #주스"
180	바다를본돼지	제주특별자치도 제주시 한경면 판포1길 16	"#돼지고기 #해산물 #된장찌개
#한식 #음식 #흑돼지 #흑돼지구이 #오겹살 #목살 #전복뚝배기 #김치찌개"
181	산지물식당	제주특별자치도 제주시 임항로 26 (건입동)	"#활어회 #횟집 #물회
#활한치물회 #음식 #향토음식 #회 #전복죽 #오분작뚝배기 #전복해물탕 #갈치국 #성게미역국 #한치"
182	생돈우리	제주특별자치도 제주시 우평로 38	"#흑돼지 #근고기 #목살
#음식 #흑돼지구이 #돼지구이 #오겹살 #대패삼겹살 #삼겹살"
183	섭지코지 해녀밥상	제주특별자치도 서귀포시 성산읍 신양로122번길 60-6	"#정식 #해산물 #전복구이
#소라 #성게 #해삼 #음식 #전복버터구이 #성게미역국 #옥돔 #옥돔구이"
184	성산해오름식당	제주특별자치도 서귀포시 성산읍 일출로 260	"#갈치조림 #문어해물라면 #성게알비빔밥
#음식 #갈치구이 #제주갈치구이 #옥돔구이 #제주갈치조림 #전복뚝배기 #전복죽 #해물라면 #라면"
185	소곱에	제주특별자치도 제주시 구좌읍 월정3길 53-9	"#해물파전 #짬뽕라면 #라면
#파전 #음식 #해물라면 #볶음밥"
186	어부피자	제주특별자치도 서귀포시 성산읍 서성일로 1078-14	"#랍스터피자 #피자 #양식
#음식 #스파게티 #해물파스타 #파스타"
187	영림흑돼지가든	제주특별자치도 제주시 한림읍 한수풀로 30	"#흑돼지 #한림 #오겹살
#갈비 #냉면 #음식 #흑돼지구이 #삼겹살 #식당"
188	옛날옛적	제주특별자치도 서귀포시 성산읍 일주동로 4660	"#돔베고기 #해물뚝배기 #해산물
#음식 #회 #고등어조림 #간장게장"
189	올레수산회센터	제주도 서귀포시 중정로 61번길 12	"#횟집 #회국수 #회덮밥
#한식 #옥돔구이 #향토음식 #음식 #회 #옥돔 #매운탕 #고등어구이"
190	와토커피	제주특별자치도 서귀포시 대정읍 동일하모로 238	"#카페 #커피 #비엔나커피
#와토알프스 #음식 #과일주스 #아메리카노"
191	우도자연	제주특별자치도 제주시 우도면 우도해안길 602	"#해물짬뽕 #해물라면 #해물짜장
#회덮밥 #갈치조림 #우럭조림 #음식 #라면"
192	우도해광식당	제주특별자치도 제주시 우도면 하고수길 69	"#우도성게비빔밥 #보말전복톳칼국수 #칼국수
#비빔밥 #음식 #보말칼국수 #해물라면 #문어라면 #성게비빔밥 #문어숙회 #라면"
193	우드스탁	제주특별자치도 제주시 구좌읍 월정7길 52	"#카페 #쉐이크 #커피
#음식 #아메리카노 #카페라떼 #차 #녹차"
194	우수미회센타	제주특별자치도 제주시 연화로2길 24-1	"#회 #횟집 #모둠회
#초밥 #세꼬시 #음식 #방어회 #해산물 #생선조림 #새우튀김 #방어"
195	은희네해장국	제주특별자치도 제주시 고마로13길 8	"#해장국 #내장탕 #소고기해장국
#음식"
196	인더오조	제주특별자치도 서귀포시 성산읍 해맞이해안로 2768	"#케이크 #수제케이크 #카페
#음식 #커피 #녹차라떼 #디저트 #빵"
197	일통이반	제주특별자치도 제주시 중앙로2길 25	"#해산물 #문어회 #해물탕
#우럭조림 #보말죽 #음식 #회 #문어숙회 #소라 #전복버터구이 #생선구이정식 #옥돔구이"
198	제스피	제주특별자치도 제주시 신대로16길 44	"#맥주 #제주맥주 #스트롱에일
#음식 #치킨 #수제맥주"
199	제주명가두루치기	제주특별자치도 서귀포시 태평로 495 (동홍동)	"#전복죽 #두루치기 #옥돔구이
#소불고기 #한식 #음식 #흑돼지 #갈치조림 #제주갈치조림"
200	제주해물밥	제주특별자치도 제주시 월대3길 14-6	"#제주해물밥 #성게밥 #전복성게미역국
#용궁조림 #음식 #향토음식 #전복"
201	제주흑돈세상수라간	제주특별자치도 서귀포시 중산간동로 8051	"#흑돼지 #치자밥 #한식
#오겹살 #삼겹살 #김치찌개 #돼지구이 #흑돼지구이"
202	카페 사우다드	제주특별자치도 서귀포시 대정읍 하모이삼로51번길 28	"#카페 #커피 #디저트
#수제음료 #음식 #유자에이드 #브라우니 #아메리카노 #카페라떼 #바닐라라떼 #에스프레소"
203	카페루시아	제주특별자치도 서귀포시 안덕면 난드르로 49-19	"#카페 #커피 #아메리카노
#음식 #카페라떼 #에이드 #젤라또 #빵 #디저트"
204	파파야 수제버거	서귀포시 성산읍 성산등용로 7	"#말고기버거 #흑돼직버거 #말육회
#말초밥 #음식 #말고기 #육회 #감자튀김 #햄버거"
205	평대성게국수	제주특별자치도 제주시 구좌읍 해맞이해안로 1172	"#성게국수 #소라비빔국수 #문어숙회
#향토음식 #음식 #물회 #회 #갈치회 #고등어회 #한치물회 #한치회 #전복물회 #갈치구이 #제주갈치구이 #고등어구이 #생선조림 #갈치조림 #제주갈치조림 #한치"
206	피노키오	제주특별자치도 제주시 우도면 우도로 339	"#수제버거 #버거 #땅콩아이스크림
#음료 #음식 #햄버거스테이크 #햄버거 #스무디 #우도 #아메리카노 #녹차라떼 #아이스크림"
207	피자굽는돌하르방	제주특별자치도 제주시 한경면 청수로 218	"#피자 #고구마피자 #감자피자
#불고기피자 #김치피자 #음식 #화덕피자"
208	핀크스 비오토피아	서귀포시 안덕면 산록남로762번길 79	"#마르게리따피자 #성게파스타 #우영팟코스
#흑돼지스테이크 #음식"
209	해녀식당	제주특별자치도 제주시 구좌읍 동복로 5	"#해초회덮밥 #감귤회국수 #보말미역국
#횟집 #향토음식 #음식 #회"
210	화로향	제주특별자치도 제주시 관덕로15길 27	"#흑돼지 #생고기구이 #한식
#음식 #오겹살 #목살 #대패삼겹살"
211	회양과 국수군	제주특별자치도 제주시 우도면 우도해안길 270	"#회 #해물탕 #해산물
#음식 #방어회 #회국수 #회덮밥 #방어"
212	가파도 용궁정식	제주특별자치도 서귀포시 대정읍 가파로67번길 7	"#한식 #정식 #해물밥
#회 #음식 #고등어구이 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #생선구이정식 #한치"
213	귤꽃	제주특별자치도 제주시 조천읍 함덕2길 90	"#카페 #커피 #귤카페
#음식 #에이드 #와플 #아메리카노"
214	글라글라하와이	제주특별자치도 서귀포시 대정읍 하모항구로 70	"#피쉬앤칩스 #해물찜 #디저트
#음식 #햄버거 #수제맥주"
215	대니스카페	제주특별자치도 제주시 우도면 우도해안길 1128	"#카페 #음료 #우도땅콩아이스크림
#커피 #음식 #아이스크림 #아인슈페너 #우도"
216	덕승식당	제주특별자치도 서귀포시 대정읍 하모항구로 66	"#회 #객주리조림 #갈치조림
#음식 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #갈치구이 #제주갈치조림 #제주갈치구이 #한치"
217	도두해녀의집	제주특별자치도 제주시 도두항길 16	"#해산물 #물회 #전복
#성게 #한치 #음식 #전복죽 #회덮밥 #한치물회 #전복물회 #소라물회"
218	돈사촌 외도점	제주특별자치도 제주시 우평로 283	"#흑돼지 #김치찌개 #한식
#음식 #흑돼지구이 #목살 #오겹살 #돼지구이"
219	면뽑는선생 만두빚는아내	제주특별자치도 제주시 한림읍 옹포2길 10	"#손만둣국 #만두전골 #한우사골만둣국
#한우수육버섯만두전골 #음식"
220	문어빵굽는문빵9	제주특별자치도 제주시 우도면 우도해안길 388	"#문어빵 #한라봉에이드 #전구한라봉주스
#땅콩아이스크림 #음식 #빵 #아이스크림"
221	미엘드세화	제주특별자치도 제주시 구좌읍 해맞이해안로 1464	"#카페 #커피 #케이크
#디저트 #음식 #아메리카노 #생크림케익 #밀크티"
222	미풍해장국 신제주점	제주특별자치도 제주시 선덕로 2	"#해장국백반 #한식 #해장국
#음식"
223	바다의집	제주특별자치도 서귀포시 성산읍 해맞이해안로 2758	"#성게비빔밥 #성게미역국 #전복회덮밥
#한식 #향토음식 #음식 #전복"
224	비밀의숲 카페	제주특별자치도 제주시 구좌읍 송당리 산 66-2	"#커피 #음료 #샌드위치
#음식 #숲 #아메리카노 #카페라떼 #카페모카 #포토스팟"
225	비바리짬뽕	제주특별자치도 제주시 애월읍 하귀9길 11	"#짬뽕 #찹쌀탕수육 #중식
#음식 #크림짬뽕 #해물짬뽕 #해물볶음짬뽕 #해물짜장 #탕수육 #콩국수"
226	뽈살집	제주특별자치도 서귀포시 중정로91번길 37	"#꽃돼지 #특수부위 #한식
#음식 #흑돼지 #돼지구이 #돼지껍떼기"
227	산방산초가집	제주특별자치도 서귀포시 안덕면 화순해안로 189	"#전복해물전골 #음식 #향토음식
#전복 #전복구이 #전복해물뚝배기 #전복죽 #고등어구이"
228	삼대국수회관	제주특별자치도 제주시 삼성로 41	"#고기국수 #한식 #향토음식
#구삼대회관 #음식 #멸치국수 #비빔국수 #잔치국수 #국밥 #돔베고기"
229	삼무국수	제주특별자치도 제주시 삼무로3길 46-1	"#고기국수 #회쟁반국수 #향토음식
#음식 #비빔국수 #돔베고기 #멸치국수 #순두부찌개"
230	쇠소깍모꼬지	제주특별자치도 서귀포시 일주동로 8104	"#두루치기 #고등어구이 #통갈치구이
#성게미역국 #한식 #음식 #갈치조림 #제주갈치조림 #부대찌개"
231	숙이네보리빵	제주특별자치도 제주시 애월읍 애월로 118	"#빵집 #베이커리 #보리빵
#음식 #빵"
232	숨비나리카페	제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8	"#카페 #커피 #브런치
#감자튀김 #음식 #경양식돈가스 #돈까스 #파니니 #와플 #샐러드"
233	숨어있는집	제주특별자치도 제주시 조천읍 함덕로 24	"#전복해물칼국수 #오빠가튀긴바삭닭 #칼국수
#음식 #국물닭발 #치킨 #닭똥집튀김 #감자튀김"
234	쉬는팡가든	제주특별자치도 서귀포시 상예로 248	"#흑돼지 #동치미국수 #한식
#음식 #오겹살 #전복뚝배기"
235	시흥해녀의집	제주특별자치도 서귀포시 성산읍 시흥하동로 114	"#해산물 #죽 #조개죽
#소라 #문어 #전복 #음식 #회 #전복죽"
236	신의한모	제주특별자치도 제주시 애월읍 하귀14길 11-1	"#두부 #두부푸딩 #두부아이스크림
#덮밥 #음식 #아이스크림"
237	아이스크림연구소	제주시 우도면 우도봉길 47	"#아이스크림 #녹차아이스크림 #감귤아이스크림
#카페 #음식 #우도"
238	얌얌돈까스	제주특별자치도 제주시 구좌읍 구좌로 44	"#돈까스 #우동 #막국수
#볶음밥 #음식 #돈가스 #수제돈까스 #치즈돈까스 #새우튀김 #김치우동"
239	엠 라운지 M Lounge	제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층	"#엠아인슈페너 #케이크 #칵테일
#음식 #치즈케이크 #딸기스무디 #딸기라떼 #아메리카노 #주스"
240	연동마라도횟집	제주특별자치도 제주시 신광로8길 3	"#자리돔 #돌돔 #고등어
#방어 #횟집 #음식 #한식 #회 #해산물"
241	연이네	제주특별자치도 제주시 우도면 우도해안길 662-1	"#한라봉에이드 #땅콩스무디 #아이스크림
#빙수 #음식 #팥빙수 #디저트"
242	연정식당	제주특별자치도 제주시 신광로10길 29	"#제육볶음 #옥돔구이 #청국장
#한식 #음식 #가브리살 #오겹살"
243	영주말가든	제주특별자치도 제주시 연북로 196	"#말고기 #말곰탕 #말육회
#말불고기 #불고기전골 #음식 #말고기사시미 #육회 #비빔밥"
244	우도이야기	제주특별자치도 제주시 우도면 우도해안길 504	"#통문어해물라면 #전복소리해물라면 #라면
#음식 #보말칼국수 #해물라면 #문어숙회 #전복 #한치물회 #성게미역국 #매운탕 #칼국수 #한치"
